set,n,mean_km,median_km,p90_km,p95_km,max_km,exact_match_n,exact_match_rate,gt_not_in_gallery_n,gt_not_in_gallery_rate,R@1km_oracle,>1km_n,R@25km_oracle,>25km_n,R@200km_oracle,>200km_n,R@750km_oracle,>750km_n,R@2500km_oracle,>2500km_n
im2gps3k_to_mp16pro,2997,1.029236903925926,0.0812499948950041,1.6502915019712732,3.7995745877846034,86.74258194068493,51,0.01701701701701702,2946,0.982982982982983,0.8641975308641975,407,0.98998998998999,30,1.0,0,1.0,0,1.0,0
im2gps3k_to_mp16profull,2997,0.9656567427697691,0.075431734763396,1.476489782586259,3.3796316325261393,86.74258194068493,61,0.020353687020353686,2936,0.9796463129796463,0.8722055388722055,383,0.9903236569903237,29,1.0,0,1.0,0,1.0,0
im2gps3k_to_yfcc26k,2997,14.262303797549064,0.9802070069229196,30.506635822500183,76.60111578775124,595.8550513452294,85,0.028361695028361694,2912,0.9716383049716383,0.5031698365031698,1489,0.8802135468802136,359,0.9876543209876543,37,1.0,0,1.0,0
yfcc4k_to_mp16pro,4536,0.6870482433630027,0.0043472050234775,0.5322210713347877,1.3576460298470145,1234.6961292231338,2059,0.4539241622574956,2477,0.5460758377425045,0.937389770723104,284,0.9971340388007055,13,0.9997795414462081,1,0.9997795414462081,1,1.0,0
yfcc4k_to_mp16profull,4536,0.5991439120102331,0.0,0.3437723628418876,0.9532518194364367,1215.5002108035635,2331,0.5138888888888888,2205,0.4861111111111111,0.9519400352733686,218,0.9975749559082893,11,0.9997795414462081,1,0.9997795414462081,1,1.0,0
yfcc4k_to_yfcc26k,4536,10.210251878830816,0.8891920570180637,20.77455574950792,41.32928096504052,1965.997017167668,418,0.09215167548500881,4118,0.9078483245149912,0.5143298059964727,2203,0.9155643738977073,383,0.9927248677248677,33,0.9997795414462081,1,1.0,0
